CustomerID,InvoiceDate_max,InvoiceDate_min,InvoiceDate_count,Quantity_sum,Quantity_mean,Quantity_std,Quantity_max,UnitPrice_mean,UnitPrice_std,UnitPrice_max,UnitPrice_min,TotalAmount_sum,TotalAmount_mean,TotalAmount_std,TotalAmount_max,StockCode_nunique,InvoiceNo_nunique,Month_nunique,Quarter_nunique,Recency,Frequency,Monetary,AvgDaysBetweenPurchases,CustomerLifespan,PurchaseVelocity,AvgOrderValue,ProductDiversity,MonthsActive,QuartersActive,QuantityConsistency,PriceConsistency,EngagementTrend,Log_Monetary,Log_AvgOrderValue,Log_TotalAmount_sum,Log_TotalAmount_max,Recency_Squared,Frequency_Squared,Monetary_Squared,Recency_Frequency,Recency_Monetary,Frequency_Monetary,RFM_Combined,MonetaryPerFrequency,FrequencyPerRecency,R_Score,F_Score,M_Score,RFM_Score,HighValue,HighFrequency,Recent
12346.0,2011-01-18 10:17:00,2009-12-14 08:34:00,48,52,1.0833333333333333,15309.385752556089,74215,12.092500000000001,24.301569645478516,142.31,1.0,-64.67999999999302,-1.3474999999998545,15921.7904157415,77183.6,30,17,5,3,326,17,-64.67999999999302,23.529411764705884,400,0.0425,-3.8047058823525304,30,5,3,7.076269099512745e-05,0.4976016025470972,3.4,0.0,0.0,0.0,11.253955234248428,106276,289,4183.502399999096,5542,-21085.679999997723,-1099.5599999998813,-358456.5599999613,-3.8047058823525304,0.05214723926380368,2,5,1,251,0,1,0
12347.0,2011-12-07 15:52:00,2010-10-31 14:20:00,253,3286,12.988142292490119,16.477614014132026,240,2.546086956521739,2.1562688472486236,12.75,0.25,5633.32,22.26608695652174,20.609092694507954,249.60000000000002,126,8,6,4,2,8,5633.32,50.25,402,0.01990049751243781,704.165,126,6,4,0.7882295507924169,1.180783629912624,1.3333333333333333,8.63663174483544,6.558431817981774,8.63663174483544,5.523858042461968,4,64,31734294.2224,16,11266.64,45066.56,90133.12,704.165,4.0,5,4,5,545,1,1,1
12348.0,2011-09-25 13:13:00,2010-09-27 14:59:00,51,2714,53.21568627450981,48.700847518494044,144,3.7862745098039214,10.677136125531849,40.0,0.29,2019.4,39.596078431372554,44.20554915747258,240.0,25,5,4,4,75,5,2019.4,72.4,362,0.013812154696132596,403.88,25,4,4,1.0927055479743193,0.35461517632522643,1.25,7.6110507905938976,6.003590726905823,7.6110507905938976,5.484796933490655,5625,25,4077976.3600000003,375,151455.0,10097.0,757275.0,403.88,0.06666666666666667,3,3,4,334,1,0,0
12349.0,2011-11-21 09:51:00,2009-12-04 12:49:00,180,1619,8.994444444444444,7.846642681147872,48,8.358833333333333,32.363722263408086,300.0,0.42,4404.54,24.469666666666665,33.66600370514534,300.0,139,5,5,2,19,5,4404.54,143.2,716,0.006983240223463687,880.908,139,5,2,1.146279346459123,0.25827787252964457,1.0,8.390618118825207,6.78208774217627,8.390618118825207,5.707110264748875,361,25,19399972.6116,95,83686.26,22022.7,418431.3,880.908,0.2631578947368421,4,3,5,435,1,0,1
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,17,197,11.588235294117647,4.345382945285314,24,3.841176470588235,9.334750855240422,40.0,0.85,334.4,19.670588235294115,7.275538185065964,40.0,17,1,1,1,310,1,334.4,0.0,0,1.0,334.4,17,1,1,2.6667926486641957,0.41149212551632725,1.0,5.815323849389109,5.815323849389109,5.815323849389109,3.713572066704308,96100,1,111823.35999999999,310,103664.0,334.4,103664.0,334.4,0.0032258064516129032,2,1,2,212,0,0,0
12351.0,2010-11-29 15:23:00,2010-11-29 15:23:00,21,261,12.428571428571429,8.732533587518736,25,2.355238095238095,2.7357533131618776,12.75,0.42,300.93,14.33,4.014716677425693,23.4,21,1,1,1,375,1,300.93,0.0,0,1.0,300.93,21,1,1,1.4232491984153806,0.8609102596739624,1.0,5.710195202428391,5.710195202428391,5.710195202428391,3.1945831322991562,140625,1,90558.8649,375,112848.75,300.93,112848.75,300.93,0.0026666666666666666,2,1,2,212,0,0,0
12352.0,2011-11-03 14:37:00,2010-11-12 10:20:00,113,658,5.823008849557522,6.36849119899735,24,20.050442477876103,64.96861753940158,376.5,0.65,1889.21,16.71867256637168,68.79490953323852,376.5,70,13,4,3,36,13,1889.21,27.384615384615383,356,0.03651685393258427,145.32384615384615,70,4,3,0.9143466902292794,0.3086173484562157,3.25,7.544443212992417,4.98582228964369,7.544443212992417,5.933570568689079,1296,169,3569114.4241,468,68011.56,24559.73,884150.28,145.32384615384615,0.3611111111111111,4,5,4,454,1,1,1
12353.0,2011-05-19 17:47:00,2010-10-27 12:44:00,24,212,8.833333333333334,3.484957322010111,12,2.6283333333333334,2.536731321425556,9.95,0.42,406.76,16.948333333333334,8.799588758506875,39.8,23,2,2,2,204,2,406.76,102.0,204,0.00980392156862745,203.38,23,2,2,2.5347034460204805,1.0361102538270786,1.0,6.010678766031786,5.319981006184063,6.010678766031786,3.708682081410116,41616,4,165453.69759999998,408,82979.04,813.52,165958.08,203.38,0.00980392156862745,2,2,2,222,0,0,0
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,58,530,9.137931034482758,8.832651299446644,32,4.5037931034482765,4.342805636745455,16.95,0.42,1079.4,18.610344827586207,8.679742086377074,54.08,58,1,1,1,232,1,1079.4,0.0,0,1.0,1079.4,58,1,1,1.0345626386332312,1.0370699221122563,1.0,6.985086621918461,6.985086621918461,6.985086621918461,4.008786673860454,53824,1,1165104.36,232,250420.80000000002,1079.4,250420.80000000002,1079.4,0.004310344827586207,2,1,3,213,0,0,0
12355.0,2011-05-09 13:49:00,2010-05-21 11:59:00,35,543,15.514285714285714,18.69943602259237,96,3.069428571428572,2.8821161984751074,12.75,0.42,947.61,27.074571428571428,22.11047493874355,120.0,35,2,1,1,214,2,947.61,176.5,353,0.0056657223796034,473.805,35,1,1,0.8296659693662202,1.0649912633822916,2.0,6.854997755239065,6.1629041934298545,6.854997755239065,4.795790545596741,45796,4,897964.7121,428,202788.54,1895.22,405577.08,473.805,0.009345794392523364,2,2,3,223,0,0,0
